Company;# Employees;Industry;Website;Company Linkedin Url;Company Street;Company City;Company State;Company Country;Company Postal Code;Company Address;Keywords;Company Phone;Short Description;model_score;confidence;reasoning;cost_usd;token_cost_usd;web_search_calls;service_tier;model;run_id
Carmato Group;24;information technology & services;http://www.carmato-group.com;http://www.linkedin.com/company/carmato;3 Rheinwerkallee;Bonn;North Rhine-Westphalia;Germany;53227;3 Rheinwerkallee, Bonn, North Rhine-Westphalia, Germany, 53227;digitales autohaus, online vertrieb, beratung, prozessoptimierung, omichannel vertrieb, software development, automotive, kundenservice plattform, performance monitoring, automobilvertrieb omnichannel, automobil-cloud, automobilmarketing, b2b plattform, reporting tools, automobilvertrieb 4.0, kundenbindung, kundenmanagement, kundenportal, automobil-finanzierungsplattform, customer journey, mobile optimierung, automobilversicherung, automobil-versicherungsintegration, saas plattform, automobilvertrieb, digitale fahrzeugbörse, automobilsoftware, automobilvertrieb digital, automobil-datenmanagementsystem, white label solutions, it-service, omni-channel-vertriebsplattform, automobilbranche, automobil-reporting, automobilvertrieb kundenbindung, automobilvertrieb upselling, automobil-integrationen, api schnittstellen, cloud hosting, customer lifetime cycle, automobilverkauf online, automatisierte logistik, automobil-logistiksoftware, automatisierung, digitaler autohandel, automobil-datenmanagement, datenanalyse, automobil-api-integration, automobil-crm, automobil-erp, automobil-performance, vertriebsautomation, automobil-omnichannel-software, information technology and services, automobilvertrieb lead management, automobilsoftware entwicklung, datenschutzkonform, vertriebslösungen, e-commerce automobil, digitale fahrzeugplattformen, automobil-crm-tools, leadgenerierung, upselling, automobilfinanzierung, automatisierte angebote, automatisierte fahrzeugdaten, automobilhandel, crm integration, automobilhandel saas, automobil-ux design, user tracking, automobil-online-inzahlungnahme, automobilvertrieb automatisierung, kfz-handel software, automobillogistik, automobilvertrieb customer data, individualsoftware, automobil-api, b2b, b2b2c, e-commerce, d2c, consulting, services, retail, computer systems design and related services, customer retention, data analytics, project management, payment processing, digital transformation, business intelligence, information technology & services, cloud computing, enterprise software, enterprises, computer software, consumer internet, consumers, internet, productivity, analytics;'+49 23 4567890;"Carmato Group is a digital service provider focused on the automotive trade, with offices in Bonn, Trier, and Switzerland. With over 25 years of experience, the company specializes in digitalizing the car dealership experience to simplify the buying process for dealers and customers. They have developed a dealer-centric platform designed by dealers for dealers.

The company offers customized software solutions that support the start and expansion of digital vehicle sales. Their services include omni-channel sales platforms, lead management tools, and financing integration solutions. Carmato Group also provides customizable interfaces for seamless connections with external partners and trade-in options tailored to dealer and customer needs. They serve car dealers across Europe, emphasizing innovation and agility to meet evolving market demands.";8.5;high;"German SaaS/tech provider digitalizing automotive retail with white-label and individual platforms for car dealers; clearly B2B with strong DACH focus, active operations and hiring. ICP (auto dealers and groups) is sizeable in DACH, pricing likely project/SaaS level that can support outbound. Delivery is productized enough to onboard multiple dealers monthly, and value prop (more digital sales, less effort) is phone-pitchable. Minor uncertainty on exact deal sizes keeps score below top band.";0.015212;0.005212;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
SOGEDES;26;information technology & services;http://www.sogedes.com;http://www.linkedin.com/company/sogedes;14 Havellandstrasse;Mannheim;Baden-Wuerttemberg;Germany;68309;14 Havellandstrasse, Mannheim, Baden-Wuerttemberg, Germany, 68309;ki, customer service, kundenservice, ai, contact center, rpa, call center, consulting, video engagement, omnichannel, gamification, iot services, ivr, chatbots, customer journey analytics, conversational ai, conversational agents, customer interaction, intelligent automation, it services & it consulting, systemintegration, ai-as-a-service, managed cloud services, customer service automation, künstliche intelligenz, voicebots, customer experience, idp (intelligent document processing), microsoft teams contact center, natural language processing, customer journey orchestration, business consulting, cloud computing, speech recognition, process automation, agent support tools, software development, robotic process automation, digital worker, ki-gestützte automatisierung, voicebot & chatbot, speech analytics, omnichannel plattform, ai & automatisierung, contact center plattform, data analytics, unified desktop, workforce engagement, live call translator, omnichannel customer engagement, information technology & services, iso 27001 zertifizierung, customer service & support, customer insights, cloud contact center, business automation, hyperautomation, compliance & security, speech analytics & qm, dsgvo-konform, agent assist, b2b, services, retail, computer systems design and related services, artificial intelligence, management consulting, enterprise software, enterprises, computer software;'+49 621 92108300;"SOGEDES, officially known as Sogedes.digital AG, is a German software company founded in 2002, with headquarters in Mannheim and Heidelsau. The company specializes in digital transformation solutions that enhance customer experience and operational efficiency for businesses navigating changing market demands.

SOGEDES offers a range of services, including SOGEDES.X, an advanced call center software that integrates various communication channels into a single platform. This software features intelligent routing, real-time analytics, and seamless CRM integration to improve customer service and productivity. Additionally, SOGEDES provides customer experience management solutions and collaborates with Bright Pattern to deliver omnichannel contact center solutions, enhancing customer service across multiple channels in the DACH region.

With a focus on agility, creativity, and trust, SOGEDES aims to help businesses of all sizes achieve their digital goals and improve customer engagement through tailored solutions.";8.5;high;German IT service and solution provider focused on CX/contact center technologies (CCaaS, AI, automation) for mid-market and enterprise, clearly B2B with strong DACH focus and notable clients. High TAM among DACH contact centers and service-heavy companies. Deal sizes and recurring tech/services mix make outbound sensible, onboarding is scalable, and decision-makers are phone-reachable. Slightly lower score due to competitive, red-ocean CX tech landscape.;0.013903;0.003903;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
konzepthaus Web Solutions GmbH;29;information technology & services;http://www.konzepthaus-ws.de;http://www.linkedin.com/company/konzepthaus-ws;;Sonthofen;Bavaria;Germany;87527;Sonthofen, Bavaria, Germany, 87527;inbound marketing, migrationen, app entwicklung, integrationen, cms, hubspot, ecommerce, software development, crm-implementierung, kundensysteme, it-beratung, kundenportal, datenmanagement, business automation, cms-entwicklung, plattformkonomie, information technology and services, crm-integration, hubspot partner, softwareentwicklung, technologieberatung, customer journey, automatisierung, systemintegration, automatisierte prozesse, systemanpassung, systemmigration, digitalisierung, it consulting, content management, website-entwicklung, api-integration, schnittstellenentwicklung, custom solutions, plattformentwicklung, prozessoptimierung, webportal, datentransparenz, systemerweiterung, plattformen, hubspot crm, b2b, consulting, services, computer systems design and related services, system integration, marketing automation, lead generation, project management, custom software development, customer relationship management, technology consulting, search engine optimization, digital marketing, event management, business intelligence, marketing & advertising, e-commerce, consumer internet, consumers, internet, information technology & services, marketing, management consulting, saas, computer software, enterprise software, enterprises, sales, productivity, crm, seo, search marketing, events services, analytics;'+49 8321 6078787;"Seit unserer Gründung im Jahr 2015 haben wir uns als junges, inhabergeführtes IT-Unternehmen dynamisch entwickelt. Mit Standorten in Bayern und NRW begleiten wir Unternehmen als HubSpot Elite Solutions Partner sicher durch die Herausforderungen der Digitalisierung. Dabei konnten wir bisher rund 415 Kundenprojekte erfolgreich umsetzen und greifen auf ein breites Know-how von etwa 45 eingesetzten Technologien zurück. 

Unsere Leistungen reichen von der Einführung oder Optimierung des HubSpot CRM für Sales, Marketing und Service, bis hin zur Entwicklung maßgeschneiderter Lösungen und Erweiterungen. Auch die Integration und Migration stimmen wir perfekt auf die bestehenden Systeme und Prozesse ab.

Hier geht es zu unseren offenen Stellen:
https://www.konzepthaus-ws.de/ueber-uns-karriere

Impressum:
konzepthaus Web Solutions GmbH
Flurstraße 1a
87527 Sonthofen

Telefon: +49 8321 60 78 787
E-Mail: info@konzepthaus-ws.de

Vertreten durch: Thorsten Heissel, Monika Wisser
Amtsgericht Kempten: HRB 12745

Umsatzsteuer-Identifikationsnummer: DE299379107

Datenschutz: https://www.konzepthaus-ws.de/datenschutz

Datenschutzhinweise Social Media: https://www.konzepthaus-ws.de/datenschutzhinweise-social-media";7.8;high;German HubSpot-focused B2B digital agency with >150 corporate clients, strong DACH presence and clear CRM/automation value props. ICP is mid-market and enterprise firms investing in HubSpot, with sizeable DACH TAM and high deal values/retainers that justify outbound. Services are productized enough to onboard many clients, and phone pitch to marketing/sales leaders is straightforward. Slightly reduced score due to project/agency nature vs pure SaaS scalability.;0.013924;0.003924;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
WhereGroup GmbH;28;information technology & services;http://www.wheregroup.com;http://www.linkedin.com/company/wheregroup-gmbh;;Bonn;North Rhine-Westphalia;Germany;;Bonn, North Rhine-Westphalia, Germany;gis, it services & it consulting, osgeo, gis-softwareentwicklung, fossgis e.v., webassembly webgis, open-source-tools, kartenvisualisierung, standards (ogc, inspire, gdi.de), gis-consulting, softwareentwicklung, data enrichment, projektmanagement, foss academy, datenverarbeitung, geoinformationssysteme, geographic information systems (gis), spatial data processing, metadatenmanagement, webmapping, cloudcompare pointcloud verarbeitung, datenvisualisierung, mapbender 4 praxisberichte, mobile gis, geodatenmanagement, community engagement, datenanalyse, datenintegration, information technology & services, mapcomponents themes, software development, gis-tools, standardskonforme karten, web gis, open-source-software, wartung & support, deepness plugin geoai, postgis geodatenoptimierung, geoai deep learning, open-source-community, systemintegration, qgis 4.0 tipps, datenbanken (postgis), open-source-security, schulungen, b2b, non-profit, government, consulting, services, engineering services, nonprofit organization management;'+49 22 89090380;"Die WhereGroup ist ein dynamisches mittelständisches Software-Haus für Geoinformationssysteme. Wir entwickeln Open-Source-Lösungen mit Raumbezug und sind tief in der Open-Source-Community verwurzelt. Zu unseren Kunden gehören Unternehmen aus unterschiedlichsten Bereichen sowie größere Behörden und Kommunen.

Von der Ist-Analyse über die Planung und Softwareentwicklung bis zum produktiven Betrieb betreuen wir alle Phasen von GIS- und Datenbank-Projekten. 

Unser Leistungsspektrum umfasst Geoinformationssysteme für große Unternehmen, individuelle WebGIS-Lösungen, angepasste OpenStreetMap-Karten, mobile Anwendungen und kommunale Geoportale.

Das WhereGroup-Team umfasst über 40 Kollegen*innen unterschiedlicher Fachrichtungen verteilt auf die Standorte Bonn (Hauptsitz), Berlin, Freiburg und Hamburg.

Grundlage unseres Schaffens ist der Open-Source-Gedanke. Als Teil einer starken Community, mit der wir in engem Austausch stehen, engagieren wir uns aus Überzeugung in der QGIS-DE – Anwendergruppe Deutschland e.V., im FOSSGIS e. V. und bei der OSGeo.

Unser Schulungsinstitut, die FOSS Academy, bietet für Einzelpersonen und Unternehmen praxisorientierte Schulungen zum Thema „GIS mit Open-Source-Software"".";7.6;high;"German GEO-IT service provider delivering open-source GIS solutions and training for public sector and enterprises; clearly B2B with strong DACH focus and active operations. Projects appear sizeable and repeatable, but services are somewhat bespoke and consulting-heavy, slightly limiting onboarding scalability for high-volume outbound.";0.014895;0.004895;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
wirverbindenwelten.de GmbH;24;information technology & services;http://www.360grad-it-service.de;http://www.linkedin.com/company/wirverbindenwelten.de-gmbh;33 Parkstrasse;Hohenwestedt;Schleswig-Holstein;Germany;24594;33 Parkstrasse, Hohenwestedt, Schleswig-Holstein, Germany, 24594;itsicherheit cybersecuritykonzepte, itdienstleistungen itsupport, zero trust security identitaetsmanagement, hybridit multicloudmanagement, modern workplace digital workflows, endpointsecurity mobile device management, managed itservices outsourcing, softwareentwicklung apimanagement, itstrategieberatung technologieroadmaps, digitale transformation itmodernisierung, cloudstrategie cloudmigration, datenmanagement itcompliance dsgvo, enterprise itarchitektur systemintegration, netzwerk und infrastrukturmanagement, it services & it consulting, kommunikationslösungen, it monitoring, managed cloud, monitoring 24/7, it consulting, managed service providers, data privacy compliance, online speicher, microsoft azure, information technology and services, netzwerkmanagement, data backup, cloud solutions, cloud backup, cloud telefonie, mdm, azure cloud, proaktive it-betreuung, firewall security, sip-trunk, helpdesk support, it-kostenkontrolle, cybersecurity services, network security, datenschutz, 2fa mfa security, cloud computing services, it-infrastruktur optimierung, hybrid cloud, data security, disaster recovery, cloud management, mobile business, it-infrastruktur, microsoft 365, computer systems design and related services, security check, endpoint security, firewall, password generator, remote support, it-management, it-service, managed service, password management, it security, cybersecurity, it-sicherheit, it flatrate, cloud arbeitsplatz, b2b, consulting, services, information technology & services, management consulting, cloud computing, enterprise software, enterprises, computer software, computer & network security;'+49 800 0060011;"DIGITAL IMPULSE DRIVES – Transformation beginnt mit klaren Impulsen
 
Die digitale Transformation ist kein vorübergehender Trend – sie ist Umbruch, Zeitenwandel und die Realität, in der Unternehmen und Kunden auf neuen Wegen zusammenfinden.
 
Mit 25 Jahren IT-Expertise bieten wir Unternehmen und Organisationen in der Wirtschaftsregion Schleswig-Holstein und Hamburg gezielte Impulse und messbare Mehrwerte für die dynamische Nutzung digitaler Möglichkeiten.
 
Digitale Transformation ist ein neues Kapitel der technischen Umsetzung unserer Kommunikation, unserer Zusammenarbeit und der Verknüpfung von Prozessen, in der Datenschutz, IT-Security und Informationssicherheit die robuste Basis für Vertrauen und neue Wege bilden, wie wir unsere Arbeit in Angriff nehmen.
 
Wir begleiten Unternehmen strategisch auf dem Weg ihrer digitalen Transformation – mit den richtigen Inhalten, Lösungen und Werten einer digitalen Zukunft.
 
DIGITAL IMPULSE DRIVES – Impulse für die Herausforderungen unserer digitalen Zukunft.
 
www.wirverbindenwelten.de";7.0;medium;360 IT-Service is a German IT service provider offering managed IT and 360° IT support to business customers, with verified presence in Hohenwestedt and Hamburg. Strong DACH B2B focus, recurring service contracts and sizeable SME TAM support outbound. As a regional, services-heavy system house, onboarding is scalable but ticket sizes may cap upside slightly.;0.015084;0.005084;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
Matterway;30;information technology & services;http://www.matterway.io;http://www.linkedin.com/company/matterway;242 Prenzlauer Allee;Berlin;Berlin;Germany;10405;242 Prenzlauer Allee, Berlin, Berlin, Germany, 10405;it modernization, it simplification, operational excellence, business process improvement, usability & ux, digital ergonomics, mobile, automation, rpa, artificial intelligence, ai, intelligent automation, attended automation, robotic process automation, digital assistant, enterprise software, saas, mobile enterprise, software, information technology, software development, process adherence, form pre-filling, process design, click-level work capture, ai-powered assistants, decision support, workflow redesign, custom skill development, no-code tools, information technology and services, business process outsourcing, low-code sdk, data security, api integration, operational efficiency, real-time data validation, error reduction, enterprise software integration, task automation, operational analytics, low-code development, workflow optimization, onboarding simplification, task simplification, process improvement, ai decision automation, error prevention, process friction analysis, automation platform, security compliance, document extraction, performance measurement, workflow capture, heterogeneous document handling, human-in-the-loop, workflow streamlining, process diagnostics, ai automation, assistants lifecycle management, workflow monitoring, b2b, consulting, services, computer systems design and related services, digital transformation, industrial automation, internet, information technology & services, enterprises, computer software, computer & network security, mechanical or industrial engineering;'+49 176 39327604;"Matterway is a technology startup based in Berlin, Germany, focused on enhancing productivity and operational efficiency for large organizations, particularly in the Business Process Outsourcing (BPO) sector. The company employs around 30 people and offers an Intelligent Assistant platform that integrates with existing web-based software without altering underlying processes.

The platform provides real-time intelligent guidance and automation, helping organizations identify and eliminate inefficiencies in workflows. It features no-code tools for process improvement professionals, low-code tools for developers, and analytics tools for management to monitor performance. Matterway ensures data security and compliance by operating entirely within the client’s infrastructure, keeping all data within the corporate network.

Matterway generates revenue through initial project fees for friction assessments and ongoing subscriptions for access to its platform. The solutions have shown significant productivity gains, such as reducing handling times by up to 80% for various processes. The company primarily serves BPOs, IT professionals, and corporate departments looking to optimize productivity without disruptive IT projects.";8.3;high;Matterway is a Berlin-based B2B SaaS/AI assistant platform for large enterprises and BPOs, clearly focused on operations and process excellence teams. Strong DACH presence (German GmbH, Berlin address, German imprint) with global enterprise references, demo-led sales and enterprise-grade security suggest high ACV and recurring revenue. Platformized onboarding and repeatable use cases imply capacity to absorb 10+ new customers/month. Category is competitive but their human-in-the-loop AI assistant niche, strong ROI claims and enterprise logos make for a crisp, phone-friendly value proposition.;0.015238;0.005238;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
IQ Technologies for Earth and Space GmbH;29;telecommunications;http://www.iq-technologies.berlin;http://www.linkedin.com/company/iq-gmbh;11 Ernst-Lau-Strasse;Berlin;Berlin;Germany;12489;11 Ernst-Lau-Strasse, Berlin, Berlin, Germany, 12489;satellite communication, early smoke detection, fire surveillance system, r, d, space technology, radio technology, optical sensor system, environment, sustainability, software, hardware manufacturing, early fire detection, space exploration, spacecraft communication, cubesat broadband solutions, space and terrestrial system integration, automated wildfire detection, satellite communication systems, telecommunications, environmental monitoring, german engineering in space tech, environmental protection, ka-band transceiver, global intersatellite connection service, environmental services, space systems engineering, space-based wildfire detection, fire protection technology, high-performance radio communication, cubesat broadband, space and earth solutions, high-tech solutions, space and earth research, forest fire early warning, firewatch, cubesat communication, aerospace and defense, radio relay technology, remote sensing solutions, space mission technology, autonomous robot swarm for mars, fire detection sensors, interplanetary satellite systems, radio relay networks, fire detection system, mars exploration technology, ka-band transceiver upgrade, berlin high-tech company, radio relay network design, satellite radio solutions, broadband data communication, inter-satellite links, b2b, government, services, research and development in the physical, engineering, and life sciences, renewables & environment, information technology & services;;B2B high-tech solutions made in Germany;7.5;high;"German high-tech B2B company providing satellite communication and early wildfire detection systems, with strong German-language presence and many public-sector/industrial customers in DACH. High deal sizes and long-term projects justify outbound; ICP is clear but somewhat niche and procurement-heavy, so TAM and callability are good but not ideal.";0.013625;0.003625;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
MBS Nürnberg GmbH;21;marketing & advertising;http://www.territory.de;http://www.linkedin.com/company/mbs-n%c3%bcrnberg;300 Breslauer Strasse;Nuremberg;Bavaria;Germany;90471;300 Breslauer Strasse, Nuremberg, Bavaria, Germany, 90471;advertising services, digital marketing, creative marketing, brand storytelling, mobile marketing platforms, social monitoring tools, content strategies, performance marketing, media planning, media services, content analytics, cross-channel marketing, content communication, campaign analytics, influencer marketing, brand engagement, website development, real-time engagement, media monitoring, data-driven marketing, media technology, content management systems, digital engagement tools, campaign management, content optimization, social technologies, multimedia services, advertising and marketing, social media management, content strategy, it services, multimedia content, public relations, digital platforms, multimedia it services, social media marketing, content creation, information technology services, content production, media technology integration, content marketing, content strategy development, content distribution, social media analytics, media and content creation, social media campaigns, digital campaigns, digital content platforms, b2b, consulting, services, advertising agencies, event marketing, customer engagement, analytics, brand strategy, customer experience, market research, branding, creative agency, video marketing, media buying, customer journey, graphic design, marketing automation, project management, community management, customer acquisition, brand awareness, marketing & advertising, web development, information technology & services, consumer internet, consumers, internet, marketing, events, events services, saas, computer software, enterprise software, enterprises, productivity;'+49 40 37035003;Willkommen bei MBS! Mit Werbeagentur, Fotografie, E-Commerce Services und Digital auf 6000 qm Studio- bzw. Agenturfläche sind wir einer der größten Mediendienstleister Frankens. Und mit über 60 Jahren Firmengeschichte auch einer der traditionsreichsten.;7.5;high;German content and communications agency within Bertelsmann, clearly B2B with many mid‑market and enterprise clients and strong DACH presence. Services (content, media, influencer, data) are scalable with large DACH TAM and healthy economics suitable for outbound. Positioning is somewhat broad and agency-like, but buyer personas are reachable and phone-pitchable, making it an attractive, though not perfect, Manuav target.;0.015082;0.005082;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
ic-solution GmbH;22;information technology & services;http://www.ic-solution.de;http://www.linkedin.com/company/ic-solution-gmbh;3 Moeckernsche Strasse;Leipzig;Saxony;Germany;4155;3 Moeckernsche Strasse, Leipzig, Saxony, Germany, 04155;document understanding, mobile capture, abbyy, ocr, digital mailromm, extraction, transaction processing, cloud solutions, sugarcrm, kofax, professional service kofax, classification, web scanning, invoice extraction, kofax capture, entwicklung von releasescripten, capture, robot process automation, abbyy flexicapture, alfresco, it services & it consulting, automatisierte rechnungsverarbeitung in der cloud, automatisierte bestellprozesse, ki-basierte dokumentenverständnis, cloud-basiert, automatisierte posteingänge, information technology and services, multichannel capture, robotic process automation, ki-gestützte extraktion, ki-basiertes dokumentenverständnis, ki-gestützte dokumentenverständnis, digitale posteingänge, dokumentenautomatisierung, input management, automatisierte kundendatenverwaltung, automatisierte rechnungsprüfung, ki-basierte extraktion, automatisierte workflows, ki-gestützte dokumentenklassifikation, energy technology, künstliche intelligenz, cloud-software, cloud plattformen, workflow automation, ki-gestützte datenanalyse, cloud-basierte input-lösungen, ocr-technologie, cloud-gestützte input-management-plattformen, automatisierte dokumentenverarbeitung, kundenorientierte automatisierung, cloud computing, automatisierte hr-prozesse, prozessdigitalisierung, automatisierte vertragsverwaltung, cloud plattform, ki-gestützte datenextraktion, automatisierte eingangsprozesse, automatisierte postverarbeitung, online learning für dokumentenerkennung, sap-cloud-lösungen, automation software, ki-basierte textanalyse, ki-gestützte textanalyse, prozessautomatisierung, dezentrale dokumentenverarbeitung, automatisierte dokumentenklassifikation, transaktionsmanagement, business process management, datenverarbeitung, automatisierte rechnungsverarbeitung, sap-integration, logistics technology, dezentrale input-management-lösungen, document management, prozessautomatisierung in der logistik, automatisierte klassifikation und extraktion, workflow-management, process ready transformation, enterprise content management, automatisierte bestellverarbeitung, automatisierte posteingangsprozesse, ki-basierte text- und datenextraktion, datenextraktion, cloud-basiertes input management, geschäftsprozessautomatisierung, ki-gestützte analyse, ki-gestützte klassifikation, automatisierte auftragserfassung, automatisierte datenverarbeitung, automatisierte dokumenten- und transaktionsprozesse, enterprise software, dezentrale input-lösungen, dokumentenmanagement, cloud-services, prozessoptimierung, automatisierungslösungen, automatisierte datenextraktion, financial technology, eingangskanal-integration, healthcare it, cloud-integration, datenanalyse, b2b, consulting, services, retail, computer systems design and related services, artificial intelligence, digital transformation, financial services, enterprises, computer software, information technology & services, finance technology;'+49 34 12191691;"Mission Statement:
Im Zuge der digitalen Transformation verbessern wir dokumenten- und transaktionsgetriebene Geschäftsprozesse.

Projekte setzen wir auf Basis von Standardplattformen um, die wir anpassen, oder auch durch eigene Entwicklungen erweitern. So erhalten unsere Kunden eine leicht administrierbare, agile und einfach erweiterbare Lösung, die sich nahtlos in die Gesamtinfrastruktur und Fachprozesse eingliedert.

Unternehmen & Partnerschaften:
Als Startup in 2009 gegründet, ist ic-solution im deutschsprachigen Raum heute führender spezialisierter Systemintegrator für Multi-Channel Input Management, Business Process Managment sowie Robotic Process Automation mit KI.
Zusammen mit unseren Softwarepartnern wie ABBYY, KOFAX und Skilja realisieren wir Projekte rund um automatische Posteingangsverarbeitung, Rechnungsmanagement, und transaktionssichere Verarbeitung von Geschäftsvorgängen, aber auch spezialisierte Fachanwendungszenarien z. B. in den Bereichen HR, Qualitätsmanagement, Account Opening und Case Management.
Für die Abrundung unseres Portfolios verbindet uns eine langjährige Partnerschaft mit weiteren führenden Lösungsanbietern, wie z. B. xft für SAP Projekte oder smartlutions für versicherungsspezifische Portallösungen.
Besonders stolz sind wir darauf, als technologisch fokussiertes Unternehmen in zahlreichen Projekten von unseren Softwareherstellern als Problemlöser bis hin zur kompletten Projektumsetzung von komplexen Projekten eingesetzt zu werden. Dies sichert uns, neben unserer Anerkennung bei den Partnern, auch einen exzellenten Informationszugang zu den Softwareherstellern.
ic-solution ist vollständig eigenfinanziert, und damit unabhängig von Zwängen, die einer qualitativ hochwertigen Zusammenarbeit entgehen stehen könnten. Wir legen Wert auf kontinuierliches Wachstum aus eigener Kraft.
Die Basis für unser Wachstum und die hohe Zufriedenheit unserer Kunden gelingt uns vor allem durch die hohe Motivation und Qualifikation unserer Mitarbeiter.";8.2;high;German B2B provider of cloud/BPM, input management, RPA and KI-based document automation for mid-market and large enterprises, with strong DACH focus and many named enterprise cases. Clear ongoing operations, consultative but repeatable projects and scalable cloud platform. Deal sizes and complexity easily justify structured outbound and phone-based sales into IT/operations/finance leaders in DACH.;0.015092;0.005092;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
NBB Controls + Components GmbH;20;electrical/electronic manufacturing;http://www.nbbcontrols.com;http://www.linkedin.com/company/nbb-controls-components-gmbh;3 Otto-Hahn-Strasse;Olbronn-Duerrn;Baden-Wuerttemberg;Germany;75248;3 Otto-Hahn-Strasse, Olbronn-Duerrn, Baden-Wuerttemberg, Germany, 75248;radio remote control transmitters & receivers, customized control systems, technical consulting, appliances, electrical, & electronics manufacturing, funkfernsteuerung für offshore-plattformen, sicherheitsstandard, funkfernsteuerungstechnologie, funkfernsteuerung für minen/bergbau, digitale funkfernsteuerungen, sicherheits-funkfernsteuerungen, construction equipment manufacturing, kundenspezifische steuerungslösungen, funkfernsteuerung für explosionsgefährdete bereiche, multi-user system, teach-in funktion, smj-technologie, iecex/atex zertifizierung, safety equipment manufacturing, mining equipment manufacturing, industrial automation, nbb akkusystem, funkfernsteuerung, industrieautomation, sicherheitsstandards, funkfernsteuerung mit rfid-radiokey, funkfernsteuerung für schwerindustrie, kundenspezifische entwicklung, fernsteuerungssystem, offshore equipment manufacturing, b2b, e-commerce, services, retail, other communications equipment manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services;'+49 8042 624846;"EASY MOVEMENT

As a global specialist in radio remote technology, we build for the areas of automation, management, and operation of mobile equipment, hoists and industrial radio remote control systems for all major markets. 

Since 1977, NBB has developed a market leader, which develops and manufactures exclusively in Oelbronn-Duerrn. With many years of technology and application experience, NBB has the expertise to design and build reliable solutions for the most complex functions and toughest working conditions. The performance spectrum ranges from design to final assembly of the systems.

Legal information: https://nbbcontrols.com/en/legal-information/ 
Privacy: https://nbbcontrols.com/en/privacy/";7.5;high;"Manufacturer of industrial radio remote control systems used across construction, forestry, mining and mobile hydraulics; clearly B2B with global and strong German roots. HQ and manufacturing are in Germany with a US sales arm, indicating active DACH presence and sizeable industrial TAM. Products are standardized hardware with configurable options, so onboarding is scalable and deal sizes likely support outbound. Phone pitch is straightforward (safer, more efficient machine operation via wireless controls). Some uncertainty on exact average deal size and current sales motion in DACH keeps the";0.01529;0.00529;1;flex;gpt-5.1-2025-11-13;prod_1000_r2_eval_de_5_30_b2b_1000
